CH1,CH2,Start,Increment,
Volt,Volt,-3.96400e-03,2.00000e-05
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.64e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.72e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.72e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.64e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.72e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.72e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.72e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.68e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.72e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.60e-01,
-5.12e-01,-2.72e-01,
-5.04e-01,-2.68e-01,
-5.12e-01,-2.60e-01,
-5.04e-01,-2.68e-01,
5.28e-01,-2.32e-01,
5.20e-01,-2.32e-01,
5.28e-01,-1.84e-01,
5.20e-01,-1.88e-01,
5.28e-01,-1.40e-01,
5.20e-01,-1.44e-01,
5.28e-01,-1.00e-01,
5.20e-01,-1.04e-01,
5.28e-01,-6.80e-02,
5.20e-01,-6.80e-02,
5.28e-01,-3.60e-02,
5.20e-01,-3.60e-02,
5.28e-01,-4.00e-03,
5.20e-01,-8.00e-03,
5.28e-01,2.40e-02,
5.20e-01,2.00e-02,
5.28e-01,4.80e-02,
5.20e-01,4.40e-02,
5.28e-01,6.80e-02,
5.20e-01,6.80e-02,
5.28e-01,8.80e-02,
5.20e-01,8.40e-02,
5.28e-01,1.04e-01,
5.20e-01,1.04e-01,
5.28e-01,1.24e-01,
5.20e-01,1.20e-01,
5.28e-01,1.36e-01,
5.20e-01,1.36e-01,
5.28e-01,1.52e-01,
5.20e-01,1.52e-01,
5.28e-01,1.64e-01,
5.20e-01,1.60e-01,
5.28e-01,1.76e-01,
5.20e-01,1.72e-01,
5.28e-01,1.84e-01,
5.20e-01,1.80e-01,
5.28e-01,1.92e-01,
5.20e-01,1.92e-01,
5.28e-01,2.00e-01,
5.20e-01,2.00e-01,
5.28e-01,2.12e-01,
5.20e-01,2.08e-01,
5.36e-01,2.20e-01,
5.36e-01,2.16e-01,
5.20e-01,2.24e-01,
5.20e-01,2.20e-01,
5.36e-01,2.32e-01,
5.20e-01,2.28e-01,
5.36e-01,2.36e-01,
5.36e-01,2.32e-01,
5.20e-01,2.40e-01,
5.36e-01,2.36e-01,
5.20e-01,2.44e-01,
5.36e-01,2.40e-01,
5.28e-01,2.52e-01,
5.28e-01,2.48e-01,
5.36e-01,2.52e-01,
5.28e-01,2.52e-01,
5.36e-01,2.60e-01,
5.28e-01,2.60e-01,
5.36e-01,2.52e-01,
5.28e-01,2.56e-01,
5.36e-01,2.64e-01,
5.28e-01,2.64e-01,
5.36e-01,2.60e-01,
5.28e-01,2.60e-01,
5.36e-01,2.68e-01,
5.28e-01,2.64e-01,
5.36e-01,2.72e-01,
5.36e-01,2.64e-01,
5.28e-01,2.72e-01,
5.28e-01,2.68e-01,
5.36e-01,2.72e-01,
5.28e-01,2.68e-01,
5.36e-01,2.76e-01,
5.28e-01,2.72e-01,
5.36e-01,2.76e-01,
5.28e-01,2.72e-01,
5.36e-01,2.76e-01,
5.28e-01,2.72e-01,
5.36e-01,2.80e-01,
5.28e-01,2.76e-01,
5.36e-01,2.80e-01,
5.36e-01,2.76e-01,
5.28e-01,2.80e-01,
5.28e-01,2.76e-01,
5.36e-01,2.80e-01,
5.28e-01,2.76e-01,
5.36e-01,2.84e-01,
5.28e-01,2.84e-01,
5.36e-01,2.76e-01,
5.28e-01,2.84e-01,
5.36e-01,2.76e-01,
5.28e-01,2.84e-01,
5.36e-01,2.80e-01,
5.28e-01,2.84e-01,
5.36e-01,2.80e-01,
5.36e-01,2.80e-01,
5.28e-01,2.84e-01,
5.28e-01,2.80e-01,
5.36e-01,2.88e-01,
5.28e-01,2.88e-01,
5.36e-01,2.80e-01,
5.36e-01,2.88e-01,
5.28e-01,2.80e-01,
5.28e-01,2.88e-01,
5.36e-01,2.84e-01,
5.36e-01,2.88e-01,
5.28e-01,2.84e-01,
5.36e-01,2.88e-01,
5.28e-01,2.84e-01,
5.28e-01,2.84e-01,
5.36e-01,2.88e-01,
5.28e-01,2.88e-01,
5.36e-01,2.84e-01,
5.28e-01,2.88e-01,
5.36e-01,2.84e-01,
5.36e-01,2.88e-01,
5.28e-01,2.84e-01,
5.28e-01,2.88e-01,
5.36e-01,2.84e-01,
5.36e-01,2.84e-01,
5.28e-01,2.88e-01,
5.28e-01,2.84e-01,
5.36e-01,2.92e-01,
5.28e-01,2.84e-01,
5.36e-01,2.92e-01,
5.28e-01,2.92e-01,
5.36e-01,2.84e-01,
5.28e-01,2.88e-01,
5.36e-01,2.92e-01,
5.28e-01,2.92e-01,
5.36e-01,2.88e-01,
5.28e-01,2.92e-01,
5.36e-01,2.84e-01,
5.28e-01,2.92e-01,
5.36e-01,2.88e-01,
5.28e-01,2.92e-01,
5.36e-01,2.88e-01,
5.28e-01,2.92e-01,
5.36e-01,2.88e-01,
5.28e-01,2.92e-01,
5.36e-01,2.88e-01,
5.28e-01,2.92e-01,
5.36e-01,2.88e-01,
5.36e-01,2.92e-01,
5.28e-01,2.88e-01,
5.28e-01,2.92e-01,
